,#cd0e0e_Colour 1,#001eff_Colour 2,#54de64_Colour 3,#e1ff00_Colour 4,#860e76_Colour 5
#cd0e0e_Colour 1,1,1.3936839344846188,3.2768206662310275,5.049275070293435,1.5675165714585184
#001eff_Colour 2,1.3936839344846188,1,4.566852318713368,7.037093546261654,1.1247288805393187
#54de64_Colour 3,3.2768206662310275,4.566852318713368,1,1.5409067460811245,5.136470696014879
#e1ff00_Colour 4,5.049275070293435,7.037093546261654,1.5409067460811245,1,7.914822346537336
#860e76_Colour 5,1.5675165714585184,1.1247288805393187,5.136470696014879,7.914822346537336,1
